"owner_id","treat7","treat8","rand_id","holdout","azavea_section","ever_paid_jul","ever_paid_sep","ever_paid_dec","ever_paid_jul16","paid_full_jul","paid_full_sep","paid_full_dec","paid_full_jul16","total_paid_sep","total_paid_dec","earliest_pmt_dec","earliest_pmt_jul16","total_due","assessed_mv","tenure","x_lon","y_lat","kde","flag_holdout_overlap","N","unq_own"
5085,"Sheriff","Sheriff",779,0,"North Philadelphia",0,1,1,1,0,0,0,1,764.56,764.56,2015-08-04,2016-03-14T00:00:00Z,764.56,54600,2,-75.1405468751,40.0065331023,2.57629966066851e-05,0,1,1
9397,"Sheriff","Sheriff",307,0,"North Philadelphia",1,1,1,1,0,0,1,1,1300,2276.45,2015-06-02,2016-02-24T00:00:00Z,1912.18,158300,12,-75.1368067914,39.9813014152,2.3444703179874e-05,0,1,1
17318,"Sheriff","Sheriff",478,0,"West Philadelphia",1,1,1,1,0,1,1,1,1350,1350,2015-06-16,2016-04-12T00:00:00Z,1330.29,95000,7,-75.2281945332,39.9690020046,2.67332277393323e-05,0,1,1
9521,"Sheriff","Sheriff",498,0,"Northeast Philadelphia",0,1,1,1,0,1,1,1,1301.09,1301.09,2015-07-28,2016-04-15T00:00:00Z,1282.67,91600,10,-75.0892759949,40.0157092976,1.17700775406308e-05,0,1,1
18831,"Sheriff","Sheriff",473,0,"West Philadelphia",1,1,1,1,0,0,0,0,1341.79,1341.79,2015-07-17,2016-03-10T00:00:00Z,1341.49,95800,27,-75.2296139146,39.9174425157,1.54400107433723e-05,0,1,1
17321,"Sheriff","Sheriff",1297,0,"Northwest Philadelphia",1,1,1,1,1,1,1,1,36.68,36.68,2015-06-30,2016-04-05T00:00:00Z,36.68,182500,18,-75.2159992073,40.0341779208,3.35501252414835e-06,0,1,1
2664,"Sheriff","Sheriff",281,0,"North Philadelphia",1,1,1,1,1,1,1,1,2025.34,2025.34,2015-06-30,2016-03-30T00:00:00Z,2025.34,217000,1,-75.1304772467,39.9769704048,2.0711773648387e-05,0,1,1
2324,"Sheriff","Sheriff",410,0,"Northeast Philadelphia",1,1,1,1,0,0,0,0,500,1100,2015-07-09,2016-01-21T00:00:00Z,1524.82,157600,18,-74.9815178215,40.0966102929,3.41773497720407e-06,0,1,1
9824,"Sheriff","Sheriff",1084,0,"North Philadelphia",0,0,0,0,0,0,0,0,0,0,,,341.67,67400,5,-75.1275297819,39.9805514856,2.0711773648387e-05,0,1,1
21448,"Sheriff","Sheriff",1248,0,"Northwest Philadelphia",0,0,0,1,0,0,0,0,0,0,,2016-05-19T00:00:00Z,82.62,5900,25,-75.1521413497,40.0228998164,2.44321613835409e-05,0,1,1
9922,"Sheriff","Sheriff",463,0,"Northwest Philadelphia",0,0,1,0,0,0,0,0,0,1445,2015-10-01,,1366.69,97600,11,-75.1573177265,40.0497233017,1.9502347773544e-05,0,1,1
11676,"Sheriff","Sheriff",342,0,"Northeast Philadelphia",1,1,1,1,0,0,0,0,1119.46,1508.77,2015-06-24,2016-06-06T00:00:00Z,1749.6,262900,22,-75.0173156208,40.1007713644,1.60006627561276e-06,0,1,1
9017,"Sheriff","Sheriff",354,0,"Northwest Philadelphia",0,0,0,1,0,0,0,1,0,0,,2016-03-17T00:00:00Z,1704.17,151700,42,-75.1700254127,40.0625072908,6.53504292931045e-06,0,1,1
17125,"Sheriff","Sheriff",1076,0,"West Philadelphia",0,0,0,0,0,0,0,0,0,0,,,351.48,55100,59,-75.2470793503,39.9543833226,1.19384869337026e-05,0,1,1
13828,"Sheriff","Sheriff",1322,0,"West Philadelphia",0,0,1,0,0,0,1,0,0,27.33,2015-11-13,,25.84,41200,4,-75.2186823683,39.9391162439,1.84953537136509e-05,0,1,1
6629,"Sheriff","Sheriff",945,0,"West Philadelphia",0,0,1,0,0,0,0,0,0,544.01,2015-12-04,,536.31,38300,8,-75.223051012,39.9363717663,2.61669354515672e-05,0,1,1
10996,"Sheriff","Sheriff",1144,0,"Northwest Philadelphia",1,1,1,1,1,1,1,1,258.76,258.76,2015-06-10,2016-02-24T00:00:00Z,258.76,36600,33,-75.1681979224,39.9879358088,2.14078471750577e-05,0,1,1
2938,"Sheriff","Sheriff",182,0,"Northeast Philadelphia",0,1,1,1,0,0,1,1,906.07,2764.05,2015-09-02,2016-03-22T00:00:00Z,2642.37,218700,13,-74.99456268,40.0543461493,1.7776901219625e-06,0,1,1
10121,"Sheriff","Sheriff",458,0,"Northeast Philadelphia",1,1,1,1,1,1,1,1,1380.7,1380.7,2015-07-01,2016-03-28T00:00:00Z,1380.7,98600,20,-75.080486727,40.0268328552,1.03320385775591e-05,0,1,1
16298,"Sheriff","Sheriff",1083,0,"South Philadelphia",1,1,1,1,1,1,1,1,440.91,440.91,2015-06-02,2016-03-31T00:00:00Z,343.19,126100,51,-75.1639713794,39.9193741827,1.96433500218515e-05,0,1,1
18242,"Sheriff","Sheriff",1075,0,"West Philadelphia",0,0,1,1,0,1,1,0,0,368.07,2015-09-29,2016-07-06T00:00:00Z,352.88,55200,52,-75.2425484423,39.959640775,3.01546390396732e-05,0,1,1
5119,"Sheriff","Sheriff",303,0,"South Philadelphia",0,1,1,0,0,1,1,0,2009.79,2009.79,2015-09-22,,1926.81,167600,67,-75.1488028252,39.9256842532,2.16455047107062e-05,0,1,1
10549,"Sheriff","Sheriff",759,0,"North Philadelphia",0,0,1,0,0,0,1,0,0,835.73,2015-11-05,,790.35,129500,1,-75.0979888478,39.9887320389,9.66666711787013e-06,0,1,1
14028,"Sheriff","Sheriff",839,0,"South Philadelphia",1,1,1,1,1,1,1,1,686.15,686.15,2015-07-07,2016-01-27T00:00:00Z,686.15,49000,3,-75.1587075044,39.9172729393,2.08862178913434e-05,0,1,1
18699,"Sheriff","Sheriff",290,0,"Northwest Philadelphia",0,0,1,0,0,0,1,0,0,2101.11,2015-11-02,,1987.03,141900,2,-75.1624976344,40.0621685339,1.40285938006859e-05,0,1,1
5465,"Sheriff","Sheriff",1037,0,"West Philadelphia",0,1,1,0,0,1,1,0,419.19,419.19,2015-08-04,,407.49,29100,33,-75.2399861078,39.9629869408,3.47792419156615e-05,0,1,1
2468,"Sheriff","Sheriff",1333,0,"North Philadelphia",0,1,1,1,0,1,1,1,22.07,22.07,2015-07-30,2016-01-04T00:00:00Z,22.07,109800,35,-75.1415710845,40.0549879213,9.24104498431746e-06,0,1,1
9921,"Sheriff","Sheriff",501,0,"South Philadelphia",0,0,0,0,0,0,0,0,0,0,,,1275.27,122000,73,-75.1769010676,39.9352049948,3.8049511406633e-05,0,1,1
3950,"Sheriff","Sheriff",734,0,"West Philadelphia",0,0,1,0,0,0,1,0,0,1135.36,2015-10-13,,831.78,59400,12,-75.2374697041,39.927750755,1.27923424080842e-05,0,1,1
